SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
13792,13793,,SC-00024,GEORGETOWN,29440,GEORGETOWN,SC,"499,269.00","459,369.00","39,900.00",0,0,0
13794,13795,,MO-00067,DEVILS ELBOW,65457,PULASKI,MO,"174,700.00","174,700.00",0,0,0,0
13794,13795,,MO-00067,DIXON,65459,PULASKI,MO,"3,704.00","3,704.00",0,0,0,0
13794,13795,,MO-00067,ELDON,65026,MILLER,MO,"17,773.00","17,373.00",400,0,0,0
13794,13795,,MO-00067,HOLLISTER,65672,TANEY,MO,"35,100.00",0,"35,100.00","35,100.00",0,"35,100.00"
13794,13795,,MO-00067,HOLLISTER,65673,TANEY,MO,"18,407.00","4,157.00","14,250.00",0,0,0
13794,13795,,MO-00067,JEROME,65529,PHELPS,MO,"18,056.00","17,536.00",520,"14,000.00","14,000.00",0
13794,13795,,MO-00067,LAKE OZARK,65049,MILLER,MO,"14,249.00","14,249.00",0,"14,000.00","14,000.00",0
13794,13795,,MO-00067,LAQUEY,65534,PULASKI,MO,"44,932.00","11,607.00","33,325.00",0,0,0
13794,13795,,MO-00067,NEWBURG,65550,PHELPS,MO,"125,252.00","104,652.00","20,600.00",0,0,0
13794,13795,,MO-00067,ROLLA,65402,PHELPS,MO,"81,089.00","41,964.00","39,125.00",0,0,0
13794,13795,,MO-00067,SAINT ROBERT,65584,PULASKI,MO,"22,334.00","22,334.00",0,0,0,0
13794,13795,,MO-00067,WAYNESVILLE,65583,PULASKI,MO,"310,099.00","212,659.00","97,440.00","198,200.00","133,500.00","64,700.00"
13823,13824,,TX-00417,AUSTIN,78704,TRAVIS,TX,"112,942.00","51,517.00","61,425.00","41,700.00","1,700.00","40,000.00"
13823,13824,,TX-00417,AUSTIN,78728,TRAVIS,TX,"22,074.00","22,074.00",0,"14,000.00","14,000.00",0
13823,13824,,TX-00417,AUSTIN,78735,TRAVIS,TX,"63,663.00","45,888.00","17,775.00","63,700.00","45,900.00","17,800.00"
13823,13824,,TX-00417,AUSTIN,78744,TRAVIS,TX,"4,034,153.00","2,092,324.00","1,941,829.00","1,266,200.00","644,300.00","621,900.00"
13823,13824,,TX-00417,AUSTIN,78745,TRAVIS,TX,"12,829.00","11,829.00","1,000.00",0,0,0
13823,13824,,TX-00417,AUSTIN,78746,TRAVIS,TX,"54,372.00","43,862.00","10,510.00","54,400.00","43,900.00","10,500.00"
13823,13824,,TX-00417,AUSTIN,78747,TRAVIS,TX,"1,875,829.00","1,174,504.00","701,325.00","509,400.00","319,100.00","190,300.00"
13823,13824,,TX-00417,AUSTIN,78749,TRAVIS,TX,"36,632.00","31,792.00","4,840.00","35,600.00","30,700.00","4,900.00"
13823,13824,,TX-00417,AUSTIN,78754,TRAVIS,TX,"130,088.00","72,683.00","57,405.00",0,0,0
13823,13824,,TX-00417,AUSTIN,78759,TRAVIS,TX,"9,129.00","9,129.00",0,0,0,0
13823,13824,,TX-00417,BUDA,78610,HAYS,TX,"62,268.00","52,468.00","9,800.00","26,200.00","22,500.00","3,700.00"
13823,13824,,TX-00417,DALE,78616,CALDWELL,TX,"11,142.00","5,117.00","6,025.00",0,0,0
13823,13824,,TX-00417,DEL VALLE,78617,TRAVIS,TX,"491,091.00","287,766.00","203,325.00","14,000.00",0,"14,000.00"
13823,13824,,TX-00417,DRIFTWOOD,78619,HAYS,TX,"6,536.00","6,536.00",0,0,0,0
13823,13824,,TX-00417,GRANGER,76530,WILLIAMSON,TX,"41,189.00","40,289.00",900,"41,200.00","40,300.00",900
13823,13824,,TX-00417,KYLE,78640,HAYS,TX,"36,272.00","35,692.00",580,"36,300.00","35,700.00",600
13823,13824,,TX-00417,LOCKHART,78644,CALDWELL,TX,"5,203.00","5,203.00",0,"5,300.00","5,300.00",0
13823,13824,,TX-00417,MANCHACA,78652,HAYS,TX,"336,367.00","192,142.00","144,225.00","167,800.00","84,900.00","82,900.00"
